open,high,low,adj close,volume,rsi_14,stoch_k,stoch_d,willr,roc,ema_10,ema_20,ema_50,sma_20,sma_50,macd,macd_signal,macd_hist,bb_high,bb_low,bb_width,atr_14,obv,volume_sma_20,log_return,return,direction,close,date
-1.2814621213541475,-1.2851763182632554,-1.2872665959221725,-1.2834355974980949,0.9962167805008683,-0.7274433225297826,-0.07218671377146503,0.7062960567434309,-0.07218671377146549,-0.26116491259161834,-1.2913254160502103,-1.2872288704236081,-1.2649952416274277,-1.2881517646446237,-1.261319222446421,-0.4453485738395414,-0.5431547793868036,0.20456660756447534,-1.2946219895413615,-1.2777787024258511,-0.4430696407811563,-1.0733024794947528,-2.2804311410100775,2.724963510048252,-1.1020133737702607,-0.0022881051814358593,0,24.065000534057617,2016-02-19 00:00:00-05:00
-1.2913835349337106,-1.2925374598897832,-1.288289557150181,-1.2841278353616734,0.7345051067819854,-0.7670184008068206,-0.1856917383062106,0.346906216018057,-0.18569173830621102,0.04593527698245851,-1.2912189912272007,-1.2874374919613882,-1.2657503942792532,-1.2881975086628095,-1.262902587913603,-0.43225059479448324,-0.5261068496485268,0.1952986015436424,-1.2946666385172056,-1.27782555646864,-0.4429981109275516,-1.089963090559145,-2.3392692610008754,2.6452359827227636,-0.1794188656269607,0.008708290008661143,1,24.01000022888184,2016-02-22 00:00:00-05:00
-1.2903005708656134,-1.2920536304702024,-1.2878662702731982,-1.2814845912957271,0.6560375341034107,-0.5849836262457759,0.24768678857948337,-0.003951697430603171,0.24768678857948265,-0.13909862828251926,-1.2905965625590226,-1.2873445746533076,-1.2663586081316567,-1.2889962631940384,-1.2644225908648403,-0.4134712584543418,-0.5084573154339553,0.20258813015016328,-1.2977897762457824,-1.2760285207225757,-0.706814080850177,-1.105242198783147,-2.282249799817851,2.4955402160991143,0.4226618227186903,-0.022864647115929122,0,24.21999931335449,2016-02-23 00:00:00-05:00
-1.2899861456069173,-1.2934360115404582,-1.2926989748717521,-1.2883759666981982,0.48823720628464035,-0.9899354687823503,-0.8821951915019152,-0.29196362222078237,-0.8821951915019157,-0.5638113659774425,-1.2914830493877139,-1.2879948623367814,-1.267248854026704,-1.289831964352239,-1.2659126917144141,-0.4149668875822277,-0.4946571484056722,0.15594606991439525,-1.2997476501472158,-1.275609916835619,-0.8356654693682817,-1.1065092944021713,-2.3353801188531382,2.4012580563883295,-1.306037027081339,0.014780876319658545,1,23.67250061035156,2016-02-24 00:00:00-05:00
-1.2984403123871904,-1.2938507337715528,-1.297037853751476,-1.2839389830446497,0.7977657298990183,-0.680649449082167,-0.1547372538790608,-0.280957242799013,-0.15473725387906123,0.14023774351378546,-1.2913097257890813,-1.2881104136998738,-1.2679072496711628,-1.2905163595091502,-1.2673415652528828,-0.40320704541023605,-0.4811051599734256,0.15293893641286901,-1.3025525949724028,-1.273926264366936,-1.0781847546291903,-1.1006990830549237,-2.2750757946012716,2.216884973369561,0.755151414349258,0.0068444077212313405,1,24.024999618530277,2016-02-25 00:00:00-05:00
-1.2912088512729922,-1.2925374598897832,-1.2902297117128523,-1.281862295929775,0.17535009258305073,-0.5406331333227573,0.18577781972519067,-0.30297000164254895,0.18577781972518995,0.07799434438666825,-1.2907472762654424,-1.287993645734994,-1.2684476410602419,-1.2899287289441281,-1.2685105787676845,-0.38726320055373264,-0.4668580283367796,0.16136185624436092,-1.3023947971140528,-1.2728604113507538,-1.1251559017861357,-1.110138761363645,-2.229197323504535,1.7144732732640398,0.3206095127379044,0.0015490427157787505,1,24.190000534057617,2016-02-26 00:00:00-05:00
-1.2871913936063146,-1.2881829951135573,-1.2855380847979925,-1.28139028427859,0.2764235600793967,-0.507808566940912,0.2631679670194676,0.10428283204850479,0.2631679670194672,0.1081358473823459,-1.290191490007113,-1.2878376995605891,-1.268945889438189,-1.2894325850731843,-1.2696190770684412,-0.372348825897222,-0.4522746728150255,0.1654358180004047,-1.3020810670931235,-1.2721619217861373,-1.1442444281135018,-1.1195742110910103,-2.1809762522021385,1.5877260100945945,0.030674770269246115,-0.0022727407899369814,0,24.227500915527344,2016-02-29 00:00:00-05:00
-1.2883791572096492,-1.2874572246174605,-1.2852911584821025,-1.2820825221421686,0.7231734534749186,-0.5569081474651236,0.1496629424847075,0.21251736152760486,0.149662942484707,0.1998625066073448,-1.2898769688979446,-1.2877703768815443,-1.2694553269368405,-1.2895469431052087,-1.2706015608048555,-0.3614042458365315,-0.4382702702834971,0.15842075320222918,-1.3024104406225294,-1.272036058941446,-1.1689726739511312,-1.1269957048338886,-2.2395517361715838,1.449046190027656,-0.1785776259979969,0.03894616852936598,1,24.17250061035156,2016-03-01 00:00:00-05:00
-1.285619320618803,-1.2786791615097968,-1.2825749690073127,-1.2699992303835526,1.8133373487060265,0.2201500007860752,1.1893412378046126,0.5693509498622824,1.1893412378046122,0.9934156881671675,-1.2871722933928718,-1.2864218266297887,-1.2694084419478673,-1.2888256013213257,-1.2713711731465223,-0.3208498732420206,-0.41840449800331236,0.22944187112903103,-1.2991644893195804,-1.2741337553499805,-0.8811915522875308,-1.1099598772045063,-2.155709303037035,1.4939914419500906,2.0782628082356123,0.0021860225521387827,1,25.13249969482422,2016-03-02 00:00:00-05:00
-1.2756280229137584,-1.2782644392787024,-1.2747438388277306,-1.2693068601406685,0.5762925489557682,0.2582604917442429,1.2298803146149708,0.9130815299785882,1.22988031461497,0.9771205112779093,-1.2848191639683473,-1.2851279382565934,-1.269332667313132,-1.2877224763831099,-1.2719571040980442,-0.2868443063676827,-0.3952484283863674,0.26930978685331236,-1.2963015011379404,-1.2749972042021702,-0.680206315178305,-1.1212265285829583,-2.100538107509029,1.4741033721932975,0.06555104123878419,0.007416597655049619,1,25.1875,2016-03-03 00:00:00-05:00
